location,compartment,item_type,name,part_number,package_type,quantity,manufacturer,distributor,notes
Cabinet Y,Row 6 Column 2,Capacitor,CAP CER 1UF 16V Y5V 0805,CC0805ZRY5V7BB105,SMD,243,Yageo,Digi-Key,
Cabinet Y,Row 6 Column 3,Capacitor,CAP CER 1UF 10V 10% X7R 0805,CC0805KKX7R6BB105,SMD,345,Yageo,Digi-Key,
Cabinet Y,Row 6 Column 4,Capacitor,CAP TANT 2.2UF 6.3V 20% 0805,TCP0J225M8R,SMD,38,Rohm Semiconductor,Digi-Key,
Cabinet Y,Row 6 Column 5,Capacitor,CAP CER 10UF 10V Y5V 0805,CC0805ZKY5V6BB106,SMD,181,Yageo,Digi-Key,
Cabinet Y,Row 7 Column 1,Capacitor,CAP TANT 10UF 10V 20% 0805,TAJP106M010RNJ,SMD,2,AVX Corp,Digi-Key,
Cabinet Y,Row 7 Column 2,Capacitor,CAP TANT 10UF 16V 10% 1206,TAJA106K016RNJ,SMD,1,AVX Corp,Digi-Key,
Cabinet Y,Row 7 Column 3,Capacitor,CAP ALUM 4700UF 20% 10V RADIAL,ECA-1AM472,PTH,16,Panasonic,Digi-Key,
Cabinet Y,Row 7 Column 4,Capacitor,Super Capacitor Low ESR 1F 2.5V,COM-10068,PTH,10,,Sparkfun,
Cabinet Y,Row 7 Column 5,Capacitor,CAP 6.5UF 0805,,SMD,4,,,
Cabinet Y,Row 8 Column 1,Capacitor,CAP CER 22PF 50V NP0 0805,709-1172-1-ND,SMD,25,Johanson Dielectrics,Digi-Key,
Cabinet Y,Row 8 Column 2,Capacitor,CAP CER 10000PF 50V X7R 0805,1276-2437-1-ND,SMD,150,"Samsung, Yageo",Digi-Key,
Cabinet Y,Row 9 Column 1,Microcontroller,IC MCU 8BIT 32KB FLASH 32QFN,ATMEGA328P-MU,SMD,13,Atmel,Digi-Key,
Cabinet Y,Row 9 Column 2,Microcontroller,IC MCU 8BIT 32KB FLASH 32TQFP,ATMEGA328P-AU,SMD,13,Atmel,Digi-Key,
Cabinet Y,Row 9 Column 3,Microcontroller,IC MCU 8BIT 32KB FLASH 28DIP,ATMEGA328-PU,PTH,28,Atmel,Digi-Key,
Cabinet Y,Row 9 Column 4,Op Amp,IC OPAMP POWER 5.5MHZ TO0220-5,LM675T/NOPB,PTH,4,TI,Digi-Key,
Cabinet R,Row 1 Column 1,,Solder Tip - Screwdriver,16803,,4,Weller,,"1/16""x1.6mm Screwdriver Tip"
Cabinet R,Row 1 Column 2,,Solder Tip - Thin,T18-S4 ,,1,Hakko,,
Cabinet R,Row 1 Column 2,,Solder Tip - Thick,T18-D16,,1,Hakko,,
Cabinet R,Row 1 Column 2,,Solder Tip - Thick,T18-B,,1,Hakko,,
Cabinet R,Row 1 Column 2,,Solder Tip - Thick,,,3,,,
Cabinet R,Row 1 Column 2,,Solder Tip - Super Thick,T18-C3,,1,Hakko,,
Cabinet R,Row 1 Column 3,,JST Connector,,SMD,3,,,
Cabinet R,Row 1 Column 3,,Screw Terminals,,THRU,25,,,
Cabinet R,Row 1 Column 4,,Dual Op Amp,LM358,THRU,1,,,
Cabinet R,Row 1 Column 4,,JFET Op Amp,TL082,THRU,22,,,
Cabinet S,Row 1 Column 1,,Conn. Header ,S1012E-36,THRU,650,,,.100 Singl Str 36Pos
Cabinet S,Row 1 Column 2,,Conn. Recept,S5751-10-ND,THRU,6,,,2mm SIngle Str 10Pos
Cabinet S,Row 1 Column 3,,Conn. Header Breakaway,A26519-40-ND,THRU,308,,,.100 40Pos Vert
Cabinet S,Row 1 Column 4,,Conn. Header Breakaway ,A26535-40-ND,THRU,393,,,.100 80Pos Vert
Cabinet S,Row 2 Column 1,,Female Header,,THRU,57,,,
Cabinet S,Row 2 Column 2,,Female Header,,THRU,29,,,
Cabinet S,Row 2 Column 3,,2mm Xbee Header,PRT-10112,THRU,515,,,
Cabinet S,Row 2 Column 4,,Right Angle Headers,,THRU,34,,,
Cabinet S,Row 3 Column 1,,2x5 Pin Shrouded Header,PRT-08506,THRU,10,,,
Cabinet S,Row 3 Column 1,,Ribbon Crimp Connector,PRT-10650,THRU,10,,,
Cabinet S,Row 3 Column 2,,Header Pins,,THRU,63,,,
Cabinet S,Row 3 Column 3,,Swiss Pin,,THRU,1263,,,
Cabinet S,Row 3 Column 4,,Break Away Headers,PRT-00117,THRU,1571,,,
Cabinet S,Row 4 Column 1,,Conn. Header Ph Side,455-1749-1-ND,SMD,50,,,2Pos 2mm
Cabinet S,Row 4 Column 2,,Conn Housing Ph,455-1165-ND,,59,,,2Pos 2mm White
Cabinet S,Row 4 Column 3,,Conn Header Ph Side,455-1750-1-ND,SMD,50,,,3Pos 2mm
Cabinet S,Row 4 Column 4,,Conn Housing Ph,455-1126-ND,,50,,,3Pos 2mm
Cabinet F,Row 1 Column 1,Diode,,1N194,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 1 Column 2,Diode,,1N4148,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 1 Column 3,Diode,,1N14B,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 1 Column 4,Diode,,FR106,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 1 Column 5,Diode,,1N4001,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 2 Column 1,Diode,,1N4004,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 2 Column 2,Diode,,1N4007,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 2 Column 3,Diode,,1N5404,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 2 Column 4,Diode,,1N5408,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 2 Column 5,Diode,,1N751,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 3 Column 1,Diode,,1N753,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 3 Column 2,Diode,,1N4728,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 3 Column 3,Diode,,1N4732,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 3 Column 4,Diode,,1N4733,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 3 Column 5,Diode,,1N4735,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 4 Column 1,Diode,,1N4736,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 4 Column 2,Diode,,1N4739,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 4 Column 3,Diode,,1N4742,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 4 Column 4,Diode,,1N4744,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 4 Column 5,Diode,,1N4747,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 5 Column 1,Diode,,1N5225,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 5 Column 2,Diode,,1N5228,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 5 Column 3,Diode,,1N5231,THRU,10,Electronix Express,Electronix Express,
Cabinet F,Row 5 Column 4,Diode,,1N5234,THRU,10,Electronix Express,Electronix Express,
